"Compound Name","Formula","Mass","RT","CAS ID",PosIon_Liver_SampleA_7Wk_Mutant1,PosIon_Liver_SampleB_7Wk_Mutant2,PosIon_Liver_SampleC_7Wk_Mutant3,PosIon_Liver_SampleD_7Wk_WildType1,PosIon_Liver_SampleE_7Wk_WildType2,PosIon_Liver_SampleF_7Wk_WildType3
PC 16:0_18:2,C42 H80 N O8 P,757.5638,6.39,,165638031.915937,130623607.705902,117082094.222083,181414483.870142,153626628.192714,196109630.675681
PC 16:0_20:4,C44 H80 N O8 P,781.5634,6.24,,171301634.214606,113791445.754659,129173119.453079,162431658.775837,158104236.17187,182569120.090298
PC 16:0_22:6,C46 H80 N O8 P,805.5637,6.02,,129251511.294588,57451944.9944894,81174122.2574895,105499150.594956,101767633.365718,137035708.494533
PC 18:0_20:4,C46 H84 N O8 P,809.5947,7.65,,145210682.809363,59483234.5882558,82331112.0318154,122777365.673628,155770156.688791,166219419.544665
PC 16:0_18:1,C42 H82 N O8 P,759.5792,7.40,,119834500.435118,99123882.6846757,97299472.658006,137880105.246332,99583757.6488694,140041167.567485
PC 15:0_18:1(d7),C41 H73 D7 N O8 P,752.6075,6.63,,108229280.364373,92482141.8172342,83025036.0316036,86940221.9140183,89181877.9491624,93845387.7324957
PC 18:0_18:2,C44 H84 N O8 P,785.5948,7.87,,121608282.498367,65648415.6232794,62728892.5335165,132698400.751286,140851441.615862,168060491.558553
TG 16:0_18:1_18:2,C55 H100 O6,856.7533,13.31,,51805319.5727378,10800055.2025018,33628047.3651345,67351482.0530762,73336864.8314189,75430302.6246218
SM d34:1,C39 H79 N2 O6 P,702.5691,5.88,,91358264.8913787,56056827.7915627,48606661.643441,7410080.90139255,7995537.34784305,9804637.2993866
SM d42:2,C47 H93 N2 O6 P,812.6789,11.27,,69306615.4209731,43386789.9330031,37719256.4116437,12945944.2628246,9352243.6369207,13005957.4392269
TG 16:0_18:2_18:2,C55 H98 O6,854.7379,13.01,,30520250.4148537,4838405.49695977,14697886.9498705,39781138.4430748,25265292.8594077,26357506.9453095
SM d40:1,C45 H91 N2 O6 P,786.6635,11.26,,50291974.3730608,29591269.7898059,26405730.0510117,14579863.2853699,4934683.86856157,20334087.0162104
PC 18:0_22:6,C48 H84 N O8 P,833.5947,7.32,,48350982.62203,14509401.1124838,29010269.6578337,31453464.607289,48301289.871288,60930420.7048356
